ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600677.SH,20200408,4.23,4.25,4.09,4.1,4.3,-0.20000000000000018,-4.6512,325858.03,134095.468
600677.SH,20200407,4.27,4.36,4.24,4.3,4.22,0.08000000000000007,1.8957,134692.89,57847.713
600677.SH,20200403,4.25,4.39,4.19,4.22,4.29,-0.07000000000000028,-1.6317,109128.54,46549.624
600677.SH,20200402,4.26,4.3,4.13,4.29,4.35,-0.05999999999999961,-1.3793,181428.66,76264.431
600677.SH,20200401,4.49,4.58,4.34,4.35,4.57,-0.22000000000000064,-4.814,172456.68,76926.83
600677.SH,20200331,4.68,4.8,4.56,4.57,4.65,-0.08000000000000007,-1.7204,168729.67,79105.056
600677.SH,20200330,4.57,4.79,4.55,4.65,4.63,0.020000000000000462,0.432,223192.81,104134.252
600677.SH,20200327,4.41,4.63,4.37,4.63,4.41,0.21999999999999975,4.9887,212475.05,97270.122
600677.SH,20200326,4.52,4.53,4.41,4.41,4.57,-0.16000000000000014,-3.5011,139469.0,62361.254
600677.SH,20200325,4.54,4.59,4.46,4.57,4.52,0.05000000000000071,1.1062,189124.44,85699.636
600677.SH,20200324,4.65,4.7,4.38,4.52,4.61,-0.09000000000000075,-1.9523,259881.39,116951.988
600677.SH,20200323,4.72,4.76,4.61,4.61,4.85,-0.23999999999999932,-4.9485,181223.02,84480.833
600677.SH,20200320,4.85,4.86,4.7,4.85,4.81,0.040000000000000036,0.8316,200138.03,95665.912
600677.SH,20200319,5.05,5.1,4.79,4.81,5.04,-0.23000000000000043,-4.5635,330124.03,160038.297
600677.SH,20200318,5.12,5.51,5.04,5.04,5.31,-0.2699999999999996,-5.0847,369798.45,192168.315
600677.SH,20200317,5.35,5.5,5.31,5.31,5.59,-0.28000000000000025,-5.0089,99800.38,53477.786
600677.SH,20200316,5.7,6.03,5.59,5.59,5.88,-0.29000000000000004,-4.932,421602.13,240436.882
600677.SH,20200313,5.32,5.88,5.32,5.88,5.6,0.28000000000000025,5.0,483362.7,277612.87
600677.SH,20200312,5.25,5.6,5.2,5.6,5.33,0.2699999999999996,5.0657,333533.54,183007.118
600677.SH,20200311,5.09,5.36,5.09,5.33,5.1,0.23000000000000043,4.5098,403838.5,214129.443
600677.SH,20200310,4.99,5.13,4.78,5.1,5.03,0.0699999999999994,1.3917,266986.63,132402.272
600677.SH,20200309,4.91,5.15,4.88,5.03,5.01,0.020000000000000462,0.3992,253866.74,127397.686
600677.SH,20200306,4.9,5.18,4.87,5.01,4.94,0.0699999999999994,1.417,343812.03,173306.396
600677.SH,20200305,4.74,4.94,4.7,4.94,4.7,0.2400000000000002,5.1064,252666.72,122923.225
