ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603108.SH,20200408,10.24,10.41,10.16,10.34,10.28,0.0600000000000005,0.5837,56514.43,58296.754
603108.SH,20200407,10.18,10.35,10.08,10.28,10.07,0.20999999999999908,2.0854,54234.75,55485.364
603108.SH,20200403,9.98,10.2,9.94,10.07,9.98,0.08999999999999986,0.9018,43722.48,44020.184
603108.SH,20200402,9.94,9.99,9.75,9.98,9.83,0.15000000000000036,1.5259,30603.77,30256.982
603108.SH,20200401,10.0,10.05,9.8,9.83,9.98,-0.15000000000000036,-1.503,35785.82,35510.526
603108.SH,20200331,10.01,10.16,9.96,9.98,9.98,0.0,0.0,37760.66,37826.134
603108.SH,20200330,10.2,10.35,9.91,9.98,10.18,-0.1999999999999993,-1.9646,51440.8,52141.837
603108.SH,20200327,10.48,10.53,10.15,10.18,10.34,-0.16000000000000014,-1.5474,61571.25,63524.88
603108.SH,20200326,10.1,10.55,10.03,10.34,10.13,0.20999999999999908,2.0731,85261.79,88128.746
603108.SH,20200325,9.96,10.18,9.89,10.13,9.83,0.3000000000000007,3.0519,63998.52,64245.526
603108.SH,20200324,9.9,9.94,9.66,9.83,9.72,0.10999999999999943,1.1317,38398.71,37656.687
603108.SH,20200323,9.71,10.04,9.66,9.72,9.81,-0.08999999999999986,-0.9174,55006.07,54037.902
603108.SH,20200320,9.69,9.85,9.64,9.81,9.64,0.16999999999999993,1.7635,39606.03,38621.912
603108.SH,20200319,9.77,9.77,9.46,9.64,9.68,-0.03999999999999915,-0.4132,54461.45,52258.161
603108.SH,20200318,10.05,10.1,9.67,9.68,9.9,-0.22000000000000064,-2.2222,67755.86,66864.048
603108.SH,20200317,10.1,10.22,9.63,9.9,10.06,-0.16000000000000014,-1.5905,89076.3,87757.022
603108.SH,20200316,10.52,10.72,10.05,10.06,10.45,-0.3899999999999988,-3.7321,87383.66,90671.531
603108.SH,20200313,10.33,10.66,10.15,10.45,10.88,-0.4300000000000015,-3.9522,102750.42,106401.648
603108.SH,20200312,11.18,11.3,10.76,10.88,11.3,-0.41999999999999993,-3.7168,89311.1,97529.321
603108.SH,20200311,11.38,11.55,11.23,11.3,11.33,-0.02999999999999936,-0.2648,78326.38,88963.568
603108.SH,20200310,11.24,11.44,10.88,11.33,11.58,-0.25,-2.1589,122340.77,136573.258
603108.SH,20200309,11.61,11.98,11.51,11.58,11.59,-0.009999999999999787,-0.0863,161168.09,188866.26
603108.SH,20200306,11.43,11.88,11.4,11.59,11.59,0.0,0.0,124435.56,145239.233
603108.SH,20200305,11.42,11.91,11.11,11.59,11.18,0.41000000000000014,3.6673,152907.04,176117.447
603108.SH,20200304,11.16,11.39,11.07,11.18,11.14,0.03999999999999915,0.3591,91859.05,103253.675
603108.SH,20200303,10.97,11.25,10.95,11.14,10.84,0.3000000000000007,2.7675,94635.99,105348.255
603108.SH,20200302,10.53,10.99,10.45,10.84,10.4,0.4399999999999995,4.2308,77601.28,83920.556
603108.SH,20200228,10.58,10.87,10.38,10.4,10.7,-0.29999999999999893,-2.8037,94419.06,100587.659
603108.SH,20200227,10.84,10.92,10.58,10.7,10.8,-0.10000000000000142,-0.9259,96497.61,103270.14
603108.SH,20200226,11.2,11.33,10.75,10.8,11.39,-0.5899999999999999,-5.18,127351.35,140356.443
603108.SH,20200225,11.25,11.5,11.02,11.39,11.33,0.0600000000000005,0.5296,145209.31,163665.742
603108.SH,20200224,10.97,11.43,10.95,11.33,10.97,0.35999999999999943,3.2817,124365.21,139814.56
603108.SH,20200221,10.99,11.05,10.87,10.97,10.89,0.08000000000000007,0.7346,87777.76,96153.709
603108.SH,20200220,10.82,10.95,10.73,10.89,10.78,0.11000000000000121,1.0204,73813.16,80127.567
603108.SH,20200219,11.0,11.1,10.78,10.78,11.0,-0.22000000000000064,-2.0,81317.73,88818.983
603108.SH,20200218,11.08,11.24,10.89,11.0,11.04,-0.03999999999999915,-0.3623,86572.47,95388.181
603108.SH,20200217,10.83,11.1,10.83,11.04,10.79,0.25,2.317,83907.37,91908.209
603108.SH,20200214,10.73,11.07,10.71,10.79,10.84,-0.05000000000000071,-0.4613,68296.58,74167.075
603108.SH,20200213,11.12,11.22,10.82,10.84,11.16,-0.3200000000000003,-2.8674,86849.53,95364.326
603108.SH,20200212,11.0,11.29,10.96,11.16,11.16,0.0,0.0,93733.2,104294.972
603108.SH,20200211,11.49,11.57,11.05,11.16,11.49,-0.33000000000000007,-2.8721,111895.9,125577.314
603108.SH,20200210,11.45,11.8,11.26,11.49,11.65,-0.16000000000000014,-1.3734,142393.3,163640.259
603108.SH,20200207,12.09,12.49,11.4,11.65,12.17,-0.5199999999999996,-4.2728,256203.84,304244.322
603108.SH,20200206,12.55,12.85,12.13,12.17,12.36,-0.1899999999999995,-1.5372,323966.32,404081.92
603108.SH,20200205,11.6,12.37,11.4,12.36,11.77,0.5899999999999999,5.0127,290489.29,347414.939
603108.SH,20200204,11.16,11.97,10.58,11.77,11.2,0.5700000000000003,5.0893,324603.94,367927.092
603108.SH,20200203,9.54,11.66,9.54,11.2,10.6,0.5999999999999996,5.6604,241886.39,258615.721
603108.SH,20200123,10.77,10.95,10.44,10.6,10.68,-0.08000000000000007,-0.7491,58329.81,62487.14
603108.SH,20200122,10.92,11.01,10.5,10.68,10.9,-0.22000000000000064,-2.0183,47926.72,51416.066
603108.SH,20200121,11.1,11.27,10.65,10.9,10.93,-0.02999999999999936,-0.2745,76181.52,83418.342
603108.SH,20200120,10.7,10.93,10.62,10.93,10.7,0.23000000000000043,2.1495,53796.36,58283.992
603108.SH,20200117,10.7,10.84,10.65,10.7,10.73,-0.030000000000001137,-0.2796,33861.53,36383.545
603108.SH,20200116,10.71,10.92,10.64,10.73,10.71,0.019999999999999574,0.1867,46445.51,50018.514
603108.SH,20200115,10.6,10.77,10.53,10.71,10.64,0.07000000000000028,0.6579,48740.74,52122.685
603108.SH,20200114,10.72,10.88,10.58,10.64,10.73,-0.08999999999999986,-0.8388,63945.72,68116.608
603108.SH,20200113,10.47,10.82,10.36,10.73,10.45,0.28000000000000114,2.6794,101530.74,107665.843
603108.SH,20200110,10.48,10.61,10.34,10.45,10.52,-0.07000000000000028,-0.6654,62303.42,65166.638
603108.SH,20200109,10.1,10.56,10.03,10.52,10.04,0.4800000000000004,4.7809,116943.84,121093.583
603108.SH,20200108,10.18,10.27,9.99,10.04,10.23,-0.19000000000000128,-1.8573,46935.9,47478.842
603108.SH,20200107,10.0,10.32,9.96,10.23,9.97,0.2599999999999998,2.6078,82440.43,83483.466
603108.SH,20200106,10.1,10.1,9.95,9.97,10.09,-0.11999999999999922,-1.1893,45532.1,45621.69
603108.SH,20200103,10.06,10.16,10.01,10.09,10.05,0.03999999999999915,0.398,31028.43,31249.122
603108.SH,20200102,10.0,10.1,9.98,10.05,9.94,0.11000000000000121,1.1066,42742.38,42927.544
603108.SH,20191231,9.8,9.95,9.74,9.94,9.8,0.1399999999999988,1.4286,33389.83,32988.228
603108.SH,20191230,9.84,9.86,9.65,9.8,9.83,-0.02999999999999936,-0.3052,24632.8,24054.235
603108.SH,20191227,9.96,9.96,9.7,9.83,9.94,-0.10999999999999943,-1.1066,34735.0,34232.519
603108.SH,20191226,9.9,10.01,9.82,9.94,9.91,0.02999999999999936,0.3027,24085.6,23852.429
603108.SH,20191225,10.03,10.04,9.79,9.91,10.0,-0.08999999999999986,-0.9,36242.52,35956.58
603108.SH,20191224,9.94,10.03,9.94,10.0,9.94,0.0600000000000005,0.6036,20563.78,20517.072
603108.SH,20191223,10.19,10.22,9.93,9.94,10.19,-0.25,-2.4534,35163.0,35303.848
603108.SH,20191220,10.22,10.35,10.19,10.19,10.21,-0.02000000000000135,-0.1959,39407.0,40413.751
603108.SH,20191219,10.2,10.25,10.16,10.21,10.19,0.02000000000000135,0.1963,36823.61,37589.546
603108.SH,20191218,10.28,10.33,10.17,10.19,10.28,-0.08999999999999986,-0.8755,26179.47,26814.794
603108.SH,20191217,10.11,10.28,10.06,10.28,10.11,0.16999999999999993,1.6815,36365.36,37089.422
603108.SH,20191216,10.07,10.13,9.95,10.11,10.06,0.049999999999998934,0.497,34103.02,34251.662
603108.SH,20191213,9.99,10.08,9.98,10.06,9.95,0.11000000000000121,1.1055,20016.6,20076.527
603108.SH,20191212,10.0,10.04,9.94,9.95,10.0,-0.05000000000000071,-0.5,13728.4,13694.588
603108.SH,20191211,10.07,10.07,9.94,10.0,9.99,0.009999999999999787,0.1001,13669.93,13685.429
603108.SH,20191210,10.0,10.04,9.93,9.99,10.0,-0.009999999999999787,-0.1,22321.48,22281.01
603108.SH,20191209,10.17,10.17,9.98,10.0,10.13,-0.13000000000000078,-1.2833,31838.87,31931.235
603108.SH,20191206,10.18,10.25,10.04,10.13,10.2,-0.06999999999999851,-0.6863,27149.2,27444.521
603108.SH,20191205,10.13,10.21,10.12,10.2,10.11,0.08999999999999986,0.8902,14358.2,14600.212
603108.SH,20191204,10.22,10.25,10.1,10.11,10.22,-0.11000000000000121,-1.0763,20214.89,20512.897
603108.SH,20191203,10.05,10.25,10.05,10.22,10.08,0.14000000000000057,1.3889,25128.0,25535.722
603108.SH,20191202,10.06,10.18,10.01,10.08,10.08,0.0,0.0,16921.6,17056.5
603108.SH,20191129,10.18,10.27,10.01,10.08,10.15,-0.07000000000000028,-0.6897,15899.26,16077.804
603108.SH,20191128,10.09,10.33,10.02,10.15,10.08,0.07000000000000028,0.6944,50015.0,50824.276
603108.SH,20191127,10.09,10.14,10.03,10.08,10.09,-0.009999999999999787,-0.0991,13218.2,13324.859
603108.SH,20191126,10.16,10.19,10.02,10.09,10.13,-0.040000000000000924,-0.3949,11465.0,11583.099
603108.SH,20191125,10.08,10.21,9.99,10.13,10.13,0.0,0.0,24024.42,24206.369
603108.SH,20191122,10.44,10.48,10.05,10.13,10.38,-0.25,-2.4085,39611.98,40457.029
603108.SH,20191121,10.55,10.58,10.34,10.38,10.41,-0.02999999999999936,-0.2882,27590.81,28826.749
603108.SH,20191120,10.7,10.85,10.39,10.41,10.68,-0.2699999999999996,-2.5281,37392.33,39270.919
603108.SH,20191119,10.38,10.72,10.31,10.68,10.42,0.2599999999999998,2.4952,35832.19,38080.538
603108.SH,20191118,10.41,10.53,9.97,10.42,10.28,0.14000000000000057,1.3619,23651.27,24466.321
603108.SH,20191115,10.4,10.44,10.28,10.28,10.34,-0.0600000000000005,-0.5803,18736.55,19356.872
603108.SH,20191114,10.32,10.55,10.2,10.34,10.38,-0.040000000000000924,-0.3854,26029.13,26897.532
603108.SH,20191113,10.48,10.65,10.31,10.38,10.48,-0.09999999999999964,-0.9542,24799.4,25868.482
603108.SH,20191112,10.49,10.62,10.33,10.48,10.56,-0.08000000000000007,-0.7576,30594.25,32039.226
603108.SH,20191111,11.0,11.0,10.53,10.56,10.98,-0.41999999999999993,-3.8251,46832.38,50046.648
603108.SH,20191108,10.8,11.05,10.68,10.98,10.83,0.15000000000000036,1.385,71551.55,78295.761
603108.SH,20191107,10.78,10.89,10.52,10.83,10.73,0.09999999999999964,0.932,62996.66,67682.084
603108.SH,20191106,10.25,10.95,10.2,10.73,10.22,0.5099999999999998,4.9902,98202.23,104085.577
603108.SH,20191105,10.32,10.35,10.13,10.22,10.21,0.009999999999999787,0.0979,32187.89,33030.032
603108.SH,20191104,10.18,10.33,10.1,10.21,10.22,-0.009999999999999787,-0.0978,37658.0,38490.419
603108.SH,20191101,10.4,10.48,10.01,10.22,10.08,0.14000000000000057,1.3889,63099.23,64571.84
603108.SH,20191031,10.19,10.26,10.03,10.08,10.19,-0.10999999999999943,-1.0795,20560.38,20833.194
603108.SH,20191030,10.27,10.38,10.13,10.19,10.27,-0.08000000000000007,-0.779,21135.98,21615.371
603108.SH,20191029,10.26,10.37,10.21,10.27,10.25,0.019999999999999574,0.1951,33597.01,34575.362
603108.SH,20191028,9.99,10.3,9.87,10.25,9.98,0.2699999999999996,2.7054,38256.2,38909.421
603108.SH,20191025,9.82,9.98,9.63,9.98,9.82,0.16000000000000014,1.6293,24854.0,24342.404
603108.SH,20191024,9.88,9.92,9.76,9.82,9.92,-0.09999999999999964,-1.0081,20680.64,20304.013
603108.SH,20191023,9.94,10.06,9.86,9.92,10.03,-0.10999999999999943,-1.0967,18179.66,18084.751
603108.SH,20191022,9.75,10.15,9.75,10.03,9.87,0.16000000000000014,1.6211,23567.0,23511.079
603108.SH,20191021,10.05,10.07,9.71,9.87,10.04,-0.16999999999999993,-1.6932,24550.46,24107.945
603108.SH,20191018,10.02,10.13,9.94,10.04,10.07,-0.030000000000001137,-0.2979,19077.84,19146.622
603108.SH,20191017,10.07,10.15,10.0,10.07,9.96,0.10999999999999943,1.1044,25656.93,25846.295
603108.SH,20191016,10.14,10.21,9.88,9.96,10.12,-0.15999999999999837,-1.581,36196.88,36294.137
603108.SH,20191015,10.51,10.51,10.0,10.12,10.42,-0.3000000000000007,-2.8791,53625.2,54302.366
603108.SH,20191014,10.18,10.55,10.18,10.42,10.13,0.28999999999999915,2.8628,45561.26,47461.364
603108.SH,20191011,10.37,10.39,10.08,10.13,10.23,-0.09999999999999964,-0.9775,26063.15,26457.487
603108.SH,20191010,10.13,10.3,10.1,10.23,10.07,0.16000000000000014,1.5889,27891.0,28514.525
603108.SH,20191009,10.17,10.17,10.0,10.07,10.19,-0.11999999999999922,-1.1776,25211.0,25343.461
603108.SH,20191008,9.98,10.38,9.98,10.19,10.18,0.009999999999999787,0.0982,21546.58,22087.073
603108.SH,20190930,10.47,10.54,10.18,10.18,10.47,-0.2900000000000009,-2.7698,26988.12,27763.659
