ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600287.SH,20200408,5.54,5.6,5.52,5.59,5.56,0.03000000000000025,0.5396,26818.0,14932.475
600287.SH,20200407,5.56,5.57,5.49,5.56,5.44,0.11999999999999922,2.2059,31807.03,17611.257
600287.SH,20200403,5.49,5.49,5.41,5.44,5.49,-0.04999999999999982,-0.9107,15655.0,8522.86
600287.SH,20200402,5.4,5.49,5.36,5.49,5.41,0.08000000000000007,1.4787,15758.11,8537.142
600287.SH,20200401,5.41,5.53,5.39,5.41,5.45,-0.040000000000000036,-0.7339,24132.67,13105.535
600287.SH,20200331,5.48,5.48,5.4,5.45,5.4,0.04999999999999982,0.9259,20099.4,10947.169
600287.SH,20200330,5.47,5.47,5.29,5.4,5.5,-0.09999999999999964,-1.8182,33352.4,17866.461
600287.SH,20200327,5.55,5.59,5.48,5.5,5.49,0.009999999999999787,0.1821,26449.4,14663.797
600287.SH,20200326,5.56,5.57,5.44,5.49,5.57,-0.08000000000000007,-1.4363,34440.75,18996.799
600287.SH,20200325,5.54,5.59,5.5,5.57,5.45,0.1200000000000001,2.2018,31537.3,17481.143
600287.SH,20200324,5.43,5.47,5.32,5.45,5.33,0.1200000000000001,2.2514,27594.68,14939.296
600287.SH,20200323,5.48,5.51,5.33,5.33,5.57,-0.2400000000000002,-4.3088,29974.0,16231.876
600287.SH,20200320,5.56,5.57,5.48,5.57,5.51,0.0600000000000005,1.0889,29336.52,16238.214
600287.SH,20200319,5.49,5.55,5.32,5.51,5.45,0.05999999999999961,1.1009,37810.46,20564.609
600287.SH,20200318,5.65,5.68,5.45,5.45,5.58,-0.1299999999999999,-2.3297,41942.01,23450.928
600287.SH,20200317,5.74,5.79,5.47,5.58,5.69,-0.11000000000000032,-1.9332,57100.35,31951.872
600287.SH,20200316,6.01,6.04,5.62,5.69,5.96,-0.2699999999999996,-4.5302,69371.98,40714.943
600287.SH,20200313,5.84,6.1,5.76,5.96,6.13,-0.16999999999999993,-2.7732,84163.07,49833.235
600287.SH,20200312,6.06,6.23,6.01,6.13,6.08,0.04999999999999982,0.8224,76369.21,46780.605
600287.SH,20200311,6.22,6.24,6.08,6.08,6.21,-0.1299999999999999,-2.0934,85601.14,52684.398
600287.SH,20200310,6.2,6.23,5.92,6.21,6.28,-0.07000000000000028,-1.1146,141322.98,86208.397
600287.SH,20200309,6.29,6.5,6.24,6.28,6.28,0.0,0.0,154425.34,98402.213
600287.SH,20200306,6.15,6.34,6.06,6.28,6.16,0.1200000000000001,1.9481,115267.16,71797.004
600287.SH,20200305,6.02,6.18,5.99,6.16,5.98,0.17999999999999972,3.01,93444.28,56920.345
600287.SH,20200304,5.85,5.98,5.83,5.98,5.9,0.08000000000000007,1.3559,41284.0,24379.496
600287.SH,20200303,5.98,6.0,5.85,5.9,5.9,0.0,0.0,54702.41,32417.106
600287.SH,20200302,5.63,5.96,5.63,5.9,5.58,0.3200000000000003,5.7348,69509.96,40392.705
600287.SH,20200228,5.83,5.86,5.5,5.58,5.95,-0.3700000000000001,-6.2185,74740.16,42487.062
600287.SH,20200227,6.02,6.06,5.89,5.95,6.0,-0.04999999999999982,-0.8333,56772.78,33838.385
600287.SH,20200226,5.88,6.15,5.82,6.0,5.93,0.07000000000000028,1.1804,90189.7,54483.802
600287.SH,20200225,5.87,6.0,5.77,5.93,6.0,-0.07000000000000028,-1.1667,70799.86,41783.152
600287.SH,20200224,5.96,6.08,5.92,6.0,5.98,0.019999999999999574,0.3344,70576.36,42278.414
600287.SH,20200221,5.89,6.03,5.83,5.98,5.87,0.11000000000000032,1.8739,75653.75,45070.112
600287.SH,20200220,5.74,5.93,5.68,5.87,5.73,0.13999999999999968,2.4433,60364.86,35028.532
600287.SH,20200219,5.72,5.76,5.68,5.73,5.7,0.03000000000000025,0.5263,35821.14,20485.7
600287.SH,20200218,5.68,5.7,5.6,5.7,5.65,0.04999999999999982,0.885,40581.0,22970.408
600287.SH,20200217,5.5,5.68,5.48,5.65,5.48,0.16999999999999993,3.1022,53808.93,30153.637
600287.SH,20200214,5.45,5.54,5.42,5.48,5.44,0.040000000000000036,0.7353,30331.18,16620.524
600287.SH,20200213,5.56,5.58,5.43,5.44,5.58,-0.13999999999999968,-2.509,39207.2,21513.122
600287.SH,20200212,5.54,5.58,5.43,5.58,5.52,0.0600000000000005,1.087,44528.63,24594.507
600287.SH,20200211,5.55,5.61,5.49,5.52,5.57,-0.05000000000000071,-0.8977,27831.0,15400.569
600287.SH,20200210,5.45,5.63,5.4,5.57,5.48,0.08999999999999986,1.6423,46425.0,25644.307
600287.SH,20200207,5.37,5.53,5.3,5.48,5.39,0.09000000000000075,1.6698,50417.01,27242.964
600287.SH,20200206,5.29,5.41,5.26,5.39,5.28,0.10999999999999943,2.0833,42867.01,22938.547
600287.SH,20200205,5.22,5.41,5.2,5.28,5.21,0.07000000000000028,1.3436,41429.29,21989.075
600287.SH,20200204,4.99,5.28,4.99,5.21,5.27,-0.05999999999999961,-1.1385,58307.0,30190.428
600287.SH,20200203,5.27,5.27,5.27,5.27,5.86,-0.5900000000000007,-10.0683,15511.0,8174.297
600287.SH,20200123,6.07,6.13,5.78,5.86,6.08,-0.21999999999999975,-3.6184,46190.69,27595.962
600287.SH,20200122,6.1,6.1,5.99,6.08,6.12,-0.040000000000000036,-0.6536,26993.0,16306.692
600287.SH,20200121,6.14,6.14,6.06,6.12,6.14,-0.019999999999999574,-0.3257,32716.46,19948.708
600287.SH,20200120,6.12,6.19,6.11,6.14,6.13,0.009999999999999787,0.1631,32698.58,20033.296
600287.SH,20200117,6.13,6.16,6.08,6.13,6.11,0.019999999999999574,0.3273,31081.87,19012.294
600287.SH,20200116,6.22,6.24,6.1,6.11,6.22,-0.10999999999999943,-1.7685,38202.84,23498.984
600287.SH,20200115,6.2,6.25,6.14,6.22,6.19,0.02999999999999936,0.4847,37800.06,23371.446
600287.SH,20200114,6.21,6.32,6.18,6.19,6.22,-0.02999999999999936,-0.4823,58543.0,36488.095
600287.SH,20200113,6.21,6.22,6.12,6.22,6.21,0.009999999999999787,0.161,47811.1,29525.209
600287.SH,20200110,6.1,6.26,6.09,6.21,6.09,0.1200000000000001,1.9704,97640.18,60345.871
600287.SH,20200109,6.07,6.14,6.06,6.09,6.0,0.08999999999999986,1.5,45886.65,27920.477
600287.SH,20200108,6.09,6.1,5.97,6.0,6.13,-0.1299999999999999,-2.1207,56254.4,34026.022
600287.SH,20200107,6.11,6.15,6.05,6.13,6.09,0.040000000000000036,0.6568,46250.52,28278.94
600287.SH,20200106,6.06,6.16,6.01,6.09,6.08,0.009999999999999787,0.1645,50488.26,30746.261
600287.SH,20200103,6.12,6.14,6.04,6.08,6.11,-0.03000000000000025,-0.491,40029.0,24376.107
600287.SH,20200102,6.07,6.15,6.04,6.11,6.03,0.08000000000000007,1.3267,47332.89,28881.39
600287.SH,20191231,6.0,6.04,5.97,6.03,6.01,0.020000000000000462,0.3328,31705.0,19045.505
600287.SH,20191230,5.87,6.02,5.82,6.01,5.92,0.08999999999999986,1.5203,56008.01,33358.875
600287.SH,20191227,5.94,5.99,5.91,5.92,5.95,-0.03000000000000025,-0.5042,35750.16,21283.018
600287.SH,20191226,5.94,5.96,5.87,5.95,5.92,0.03000000000000025,0.5068,27079.0,16004.722
600287.SH,20191225,5.95,5.96,5.9,5.92,5.92,0.0,0.0,20894.14,12389.457
600287.SH,20191224,5.83,5.93,5.82,5.92,5.81,0.11000000000000032,1.8933,25116.07,14751.597
600287.SH,20191223,5.98,6.0,5.81,5.81,5.98,-0.17000000000000082,-2.8428,40398.84,23826.549
600287.SH,20191220,5.95,6.06,5.93,5.98,5.94,0.040000000000000036,0.6734,55163.97,33088.253
600287.SH,20191219,5.93,5.97,5.89,5.94,5.91,0.03000000000000025,0.5076,30623.58,18117.305
600287.SH,20191218,5.95,6.0,5.89,5.91,5.96,-0.04999999999999982,-0.8389,56591.78,33665.231
600287.SH,20191217,5.82,6.05,5.79,5.96,5.83,0.1299999999999999,2.2298,80439.73,47846.104
600287.SH,20191216,5.79,5.84,5.75,5.83,5.75,0.08000000000000007,1.3913,35255.71,20431.447
